title,authors,clean_text,emotion
Oz: The Wonderful Wizard of Oz,"Eric Shanower, Skottie Young, L. Frank Baum",oz wonderful wizard oz,surprise
Love Walked In,Marisa de los Santos,love walk,love
"Panserhjerte (Harry Hole, #8)",Jo Nesbø,panserhjerte harry hole,surprise
Lady and the Tramp (Little Golden Book),"Teddy Slater, Bill Langley, Ron Dias, Walt Disney Company",lady tramp little golden book,surprise
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",Sam Kean,disappearing spoon true tale madness love history world periodic table element,love
The Intelligent Investor,"Benjamin Graham, Jason Zweig, Warren Buffett",intelligent investor,love
An Ideal Husband,Oscar Wilde,ideal husband,love
Love You More,Lisa Gardner,love,love
The Naked Sun,Isaac Asimov,naked sun,surprise
"Sookie Stackhouse, Books 1-7",Charlaine Harris,sookie stackhouse book,surprise
Midnight for Charlie Bone,Jenny Nimmo,midnight charlie bone,surprise
The Best Christmas Pageant Ever,Barbara Robinson,best christmas pageant ever,love
Lord John and the Private Matter,Diana Gabaldon,lord john private matter,surprise
The Crimson Petal and the White,Michel Faber,crimson petal white,surprise
The Good Guy,Dean Koontz,good guy,love
Black Magic Sanction,Kim Harrison,black magic sanction,surprise
"Conversations with God, An Uncommon Dialogue: Living in the World with Honesty, Courage, and Love, Book 1",Neale Donald Walsch,conversation god uncommon dialogue living world honesty courage love book,love
"Hawkeye, Volume 1: My Life as a Weapon","Matt Fraction, David Aja, Javier Pulido, Matt Hollingsworth, Chris Eliopoulos, Alan Davis",hawkeye volume life weapon,surprise
Love That Dog,Sharon Creech,love dog,love
King Leopold's Ghost,Adam Hochschild,king leopolds ghost,surprise
"Black Bird, Volume 1","Kanoko Sakurakouji, JN Productions, Pancha Diaz",black bird volume,surprise
Interesting Times,Terry Pratchett,interest time,love
The Viscount Who Loved Me,Julia Quinn,viscount love,love
五輪書 [Go Rin no Sho],"Miyamoto Musashi, Victor Harris",go rin sho,surprise
Songs of Innocence and of Experience,William Blake,song innocence experience,surprise
The Berenstain Bears and the Messy Room,"Stan Berenstain, Jan Berenstain",berenstain bear messy room,surprise
Demon Lord of Karanda,David Eddings,demon lord karanda,surprise
The Mysterious Benedict Society and the Perilous Journey,"Trenton Lee Stewart, Diana Sudyka",mysterious benedict society perilous journey,love
Secrets of a Charmed Life,Susan Meissner,secret charmed life,love
The Great Santini,Pat Conroy,great santini,love
"Love Is a Mix Tape: Life and Loss, One Song at a Time",Rob Sheffield,love mix tape life loss one song time,love
A Knight of the Seven Kingdoms,"George R.R. Martin, Gary Gianni",knight seven kingdom,surprise
Emily of New Moon,L.M. Montgomery,emily new moon,surprise
Morality for Beautiful Girls,Alexander McCall Smith,morality beautiful girl,love
Time Enough for Love,Robert A. Heinlein,time enough love,love
